lat_values,lng_values,city,country,Temp,Humidity,Cloudiness,Wind Speed,Lat,Longitude
82.93123749468728,-38.06264269586552,tasiilaq,gl,48.2,29,0,9.17,65.61,-37.64
-10.705962310512604,171.96316306670474,sola,vu,81.1,97,48,8.63,-13.88,167.55
75.87091740915187,159.28442475208442,cherskiy,ru,-10.66,72,44,2.33,68.75,161.3
24.83555484893023,68.97012284911892,talhar,pk,68.46,86,0,2.82,24.88,68.82
-46.82464976527129,25.458573041312633,kruisfontein,za,55.5,96,68,8.41,-34,24.73
51.48659980840759,3.52343701145341,vlissingen,nl,52.59,87,90,4.7,51.44,3.57
64.20076086767727,76.36934530270747,gubkinskiy,ru,26.16,88,76,13.18,64.43,76.5
73.99145024148038,54.949102040557705,belushya guba,ru,33.54,97,88,17.36,69.71,60.05
17.4586412493791,19.80052411040421,faya,td,77.46,21,0,16.69,17.93,19.1
39.573700206069645,108.09465101021613,haibowan,cn,79.66,47,75,17.22,-27.48,-58.83
47.229296844621246,-90.24149550916816,thunder bay,ca,33.8,86,90,11.41,48.4,-89.32
71.60134507108461,-24.224211929094537,illoqqortoormiut,gl,66.2,82,75,16.11,38.53,-28.64
42.158266110382584,-145.09835947435408,kodiak,us,51.8,50,1,11.41,57.79,-152.41
-32.84728317851456,8.689400560039303,oranjemund,na,64.95,77,0,19.93,-28.55,16.43
-25.163214436107566,-11.25889798629558,jamestown,sh,68.19,100,8,16.8,-15.94,-5.72
19.20911762112644,175.44493752603643,butaritari,ki,82.95,100,36,10.38,3.07,172.79
-39.15576585901732,-104.03882903499286,ancud,cl,50.19,99,92,11.83,-41.87,-73.82
-63.04403706884855,154.5598317449232,tuatapere,nz,50.82,99,0,4.72,-46.13,167.68
58.93446581974965,127.71416690222861,tommot,ru,14.5,68,64,2.59,58.96,126.29
-3.2412145545866906,156.30672159395817,kieta,pg,80.07,99,8,4.12,-6.22,155.63
80.89846351912001,-89.3072013093072,qaanaaq,gl,15.4,100,68,6.91,77.48,-69.36
65.40686630478228,94.84314426439312,baykit,ru,24,78,80,9.15,61.67,96.37
-22.12738914210577,37.24921840153041,inhambane,mz,68.46,100,100,26.64,-23.86,35.38
-49.19465073308749,-104.85124313662116,castro,cl,49.74,100,92,11.16,-42.47,-73.77
-46.52867067742619,147.52925366732597,hobart,au,64.4,72,75,11.41,-42.88,147.33
60.075996418661845,-176.03593513694244,provideniya,ru,30.3,100,8,20.33,64.38,-173.3
-4.627597870315299,-32.14131312305474,natal,br,80.6,74,40,14.99,-5.79,-35.21
64.95129804466637,-154.3946278112684,kenai,us,46.4,87,1,26.4,60.55,-151.26
25.11442578939922,128.9227491562873,nishihara,jp,77,94,90,42.5,26.18,127.76
-3.084035902607525,21.922405052203118,lodja,cd,71.02,96,44,2.89,-3.48,23.43
